# Constructed from biom file																																			
#OTU ID	B46	B23	B74	B67	B26	B07	B15	B39	B35	B70	B60	B40	B36	B47	B45	B59	B02	B06	B68	B50	B32	B77	B76	B106	B79	B99	B94	B101	B86	B44	B88	B20	B27	B89	taxonomy
OTU_290	0	0	0	0	1	0	0	0	3	0	8	6	0	5	1	0	0	0	0	13	2	4	1	1	0	0	0	36	0	3	1	3	0	10	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces
OTU_4	968	1450	2092	412	5971	3014	735	3026	2566	18085	81	1495	1709	882	2878	56	1155	1308	179	825	260	1628	1215	489	2129	4253	486	1289	1670	2225	1806	1164	917	1241	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae
OTU_794	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	k__BLAST; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__Hyphopichia; s__Hyphopichia burtonii
OTU_524	1	0	24	2	0	0	0	0	6	0	1	30	3	0	0	0	0	0	0	2	0	9	6	4	18	0	0	3	1	1	2	1	1	10	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium
OTU_106	1	180	0	1	0	0	0	10	57	2	6	0	2	0	0	6	1	0	0	3	4	46	24	0	0	16	7	0	84	2	0	4	2	44	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae
OTU_521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__BLAST; p_unassigned#N/A
OTU_59	7	5	0	0	0	3	0	0	5	0	0	0	0	2	2	0	0	0	0	0	1	6	1	23	0	0	1	6	0	9	0	2	1	7	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes sp
OTU_223	0	0	0	2	0	9	1	1	11	2	5	38	16	59	26	0	239	1	0	42	3	4	19	37	3	0	112	96	9	4	10	14	9	3	k__Fungi; p__Basidiomycota; c__Wallemiomycetes; o__Wallemiales; f__Wallemiaceae; g__Wallemia; s__Wallemia sebi
OTU_23	0	5	0	3	1	2	8	13	7	1	0	7	1	4	0	0	1	1	10	74	1	6	45	18	543	1	6	9	2	11	0	19	5	2	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae sedis; g__Cryptococcus
OTU_11332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__BLAST; p__; c__; o__; f__; g__; s__uncultured fungus
OTU_33	0	0	1	9	3	0	109	1	1	1	0	0	2	5	4	4	0	2	0	0	1	1	0	1	6	5	3	0	0	1	0	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus
OTU_712	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	3	0	0	0	4	0	k__Fungi; p__Basidiomycota; c__Exobasidiomycetes; o__Exobasidiales; f__Exobasidiaceae; g__Exobasidium; s__Exobasidium yoshinagae
OTU_8848	3	0	73	5	6	7	11	13	135	2	69	33	63	64	19	1	437	14	25	84	9	8	30	10	22	1	1	41	21	85	36	47	8	117	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Davidiellaceae; g__Cladosporium
OTU_519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__BLAST; p__; c__; o__; f__; g__; s__uncultured fungus
OTU_705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae
OTU_2632	0	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	1	1	3	0	3	0	0	0	0	0	0	0	0	8	k__Fungi; p__Basidiomycota; c__Wallemiomycetes; o__Wallemiales; f__Wallemiaceae; g__Wallemia; s__Wallemia sebi
OTU_6541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__BLAST; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__; g__Candida; s__Candida tropicalis
OTU_12807	94	168	184	2224	942	416	368	1298	236	234	73	166	909	225	185	72	942	463	57	178	55	86	255	137	36	279	50	1254	255	297	451	352	38	186	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Incertae sedis; g__Phoma
OTU_470	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae; g__Trechispora; s__Trechispora sp
OTU_4561	0	0	0	0	0	0	1	0	1	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	34	0	0	0	0	0	0	k__BLAST; p_unassigned(Candida orthopsilosis)
OTU_13401	8	15	6	13	22	16	8	11	17	10	5	17	6	6	12	10	9	7	7	14	3	6	3	8	2	2	2	1	3	5	10	5	4	6	k__BLAST; p_unassigned#N/A
OTU_667	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Amphisphaeriaceae
